@relation matrizes
@attribute p0 numeric
@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute p5 numeric
@attribute p6 numeric
@attribute p7 numeric
@attribute p8 numeric
@attribute p9 numeric
@attribute p10 numeric
@attribute p11 numeric
@attribute p12 numeric
@attribute p13 numeric
@attribute p14 numeric
@attribute p15 numeric
@attribute p16 numeric
@attribute p17 numeric
@attribute p18 numeric
@attribute p19 numeric
@attribute p20 numeric
@attribute p21 numeric
@attribute p22 numeric
@attribute p23 numeric
@attribute p24 numeric
@attribute p25 numeric
@attribute p26 numeric
@attribute p27 numeric
@attribute p28 numeric
@attribute p29 numeric
@attribute p30 numeric
@attribute p31 numeric
@attribute p32 numeric
@attribute p33 numeric
@attribute p34 numeric
@attribute p35 numeric
@attribute p36 numeric
@attribute p37 numeric
@attribute p38 numeric
@attribute p39 numeric
@attribute p40 numeric
@attribute p41 numeric
@attribute p42 numeric
@attribute p43 numeric
@attribute p44 numeric
@attribute p45 numeric
@attribute p46 numeric
@attribute p47 numeric
@attribute p48 numeric
@attribute p49 numeric
@attribute p50 numeric
@attribute p51 numeric
@attribute p52 numeric
@attribute p53 numeric
@attribute p54 numeric
@attribute p55 numeric
@attribute p56 numeric
@attribute p57 numeric
@attribute p58 numeric
@attribute p59 numeric
@attribute p60 numeric
@attribute p61 numeric
@attribute p62 numeric
@attribute p63 numeric
@attribute p64 numeric
@attribute p65 numeric
@attribute p66 numeric
@attribute p67 numeric
@attribute p68 numeric
@attribute p69 numeric
@attribute p70 numeric
@attribute p71 numeric
@attribute p72 numeric
@attribute p73 numeric
@attribute p74 numeric
@attribute p75 numeric
@attribute p76 numeric
@attribute p77 numeric
@attribute p78 numeric
@attribute p79 numeric
@attribute p80 numeric
@attribute p81 numeric
@attribute p82 numeric
@attribute p83 numeric
@attribute p84 numeric
@attribute p85 numeric
@attribute p86 numeric
@attribute p87 numeric
@attribute p88 numeric
@attribute p89 numeric
@attribute p90 numeric
@attribute p91 numeric
@attribute p92 numeric
@attribute p93 numeric
@attribute p94 numeric
@attribute p95 numeric
@attribute p96 numeric
@attribute p97 numeric
@attribute p98 numeric
@attribute p99 numeric
@attribute p100 numeric
@attribute p101 numeric
@attribute p102 numeric
@attribute p103 numeric
@attribute p104 numeric
@attribute p105 numeric
@attribute p106 numeric
@attribute p107 numeric
@attribute p108 numeric
@attribute p109 numeric
@attribute p110 numeric
@attribute p111 numeric
@attribute p112 numeric
@attribute p113 numeric
@attribute p114 numeric
@attribute p115 numeric
@attribute p116 numeric
@attribute p117 numeric
@attribute p118 numeric
@attribute p119 numeric
@attribute p120 numeric
@attribute p121 numeric
@attribute p122 numeric
@attribute p123 numeric
@attribute p124 numeric
@attribute p125 numeric
@attribute p126 numeric
@attribute p127 numeric
@attribute p128 numeric
@attribute p129 numeric
@attribute p130 numeric
@attribute p131 numeric
@attribute p132 numeric
@attribute p133 numeric
@attribute p134 numeric
@attribute p135 numeric
@attribute p136 numeric
@attribute p137 numeric
@attribute p138 numeric
@attribute p139 numeric
@attribute p140 numeric
@attribute p141 numeric
@attribute p142 numeric
@attribute p143 numeric
@attribute p144 numeric
@attribute p145 numeric
@attribute p146 numeric
@attribute p147 numeric
@attribute p148 numeric
@attribute p149 numeric
@attribute p150 numeric
@attribute p151 numeric
@attribute p152 numeric
@attribute p153 numeric
@attribute p154 numeric
@attribute p155 numeric
@attribute p156 numeric
@attribute p157 numeric
@attribute p158 numeric
@attribute p159 numeric
@attribute p160 numeric
@attribute p161 numeric
@attribute p162 numeric
@attribute p163 numeric
@attribute p164 numeric
@attribute p165 numeric
@attribute p166 numeric
@attribute p167 numeric
@attribute p168 numeric
@attribute p169 numeric
@attribute p170 numeric
@attribute p171 numeric
@attribute p172 numeric
@attribute p173 numeric
@attribute p174 numeric
@attribute p175 numeric
@attribute p176 numeric
@attribute p177 numeric
@attribute p178 numeric
@attribute p179 numeric
@attribute p180 numeric
@attribute p181 numeric
@attribute p182 numeric
@attribute p183 numeric
@attribute p184 numeric
@attribute p185 numeric
@attribute p186 numeric
@attribute p187 numeric
@attribute p188 numeric
@attribute p189 numeric
@attribute p190 numeric
@attribute p191 numeric
@attribute p192 numeric
@attribute p193 numeric
@attribute p194 numeric
@attribute p195 numeric
@attribute p196 numeric
@attribute p197 numeric
@attribute p198 numeric
@attribute p199 numeric
@attribute p200 numeric
@attribute p201 numeric
@attribute p202 numeric
@attribute p203 numeric
@attribute p204 numeric
@attribute p205 numeric
@attribute p206 numeric
@attribute p207 numeric
@attribute p208 numeric
@attribute p209 numeric
@attribute p210 numeric
@attribute p211 numeric
@attribute p212 numeric
@attribute p213 numeric
@attribute p214 numeric
@attribute p215 numeric
@attribute p216 numeric
@attribute p217 numeric
@attribute p218 numeric
@attribute p219 numeric
@attribute p220 numeric
@attribute p221 numeric
@attribute p222 numeric
@attribute p223 numeric
@attribute p224 numeric
@attribute p225 numeric
@attribute p226 numeric
@attribute p227 numeric
@attribute p228 numeric
@attribute p229 numeric
@attribute p230 numeric
@attribute p231 numeric
@attribute p232 numeric
@attribute p233 numeric
@attribute p234 numeric
@attribute p235 numeric
@attribute p236 numeric
@attribute p237 numeric
@attribute p238 numeric
@attribute p239 numeric
@attribute p240 numeric
@attribute p241 numeric
@attribute p242 numeric
@attribute p243 numeric
@attribute p244 numeric
@attribute p245 numeric
@attribute p246 numeric
@attribute p247 numeric
@attribute p248 numeric
@attribute p249 numeric
@attribute p250 numeric
@attribute p251 numeric
@attribute p252 numeric
@attribute p253 numeric
@attribute p254 numeric
@attribute p255 numeric
@attribute class {stroma,epithelium,unknown}
@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,676,702,8,0,0,0,0,0,0,0,0,0,0,0,0,70,113,7810,4193,16,0,0,0,0,0,0,0,0,0,0,0,42,270,1162,39386,10301,42,0,0,0,0,0,0,0,0,0,0,3,339,426,6351,91070,9502,35,0,0,0,0,0,0,0,0,0,1,95,582,615,14669,68179,4831,13,1,0,0,0,0,0,0,0,1,0,352,280,351,11222,39725,2727,26,2,0,0,0,0,0,0,0,0,22,234,226,228,6068,24621,1543,6,0,0,0,0,0,0,0,0,0,126,82,151,158,4152,15197,491,0,0,0,0,0,0,0,0,0,9,102,61,49,103,2312,4920,101,2,0,0,0,0,0,0,0,0,23,5,27,2,35,975,1064,79,0,0,0,0,0,0,0,0,2,22,6,21,2,34,243,728,18,0,0,0,0,0,0,0,0,9,29,6,35,8,51,228,599,5,0,0,0,0,0,1,2,3,54,2,26,21,11,38,72,178,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,164,127,0,0,0,0,0,0,0,0,0,0,0,0,8,35,40,2150,1755,5,0,0,0,0,0,0,0,0,0,0,1,210,281,536,16560,3191,3,0,0,0,0,0,0,0,0,0,2,66,381,366,2771,21519,1620,0,0,0,0,0,0,0,0,0,1,3,182,165,191,3868,15492,508,0,0,0,0,0,0,0,0,0,0,11,103,103,80,2804,7825,100,1,0,0,0,0,0,0,0,0,0,28,22,37,36,927,1023,25,0,0,0,0,0,0,0,2,4,6,49,20,29,36,136,377,2,0,0,0,0,0,0,0,0,0,9,0,11,3,8,53,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,251,770,4,0,0,0,0,0,0,0,0,0,0,2,134,183,188,17660,7486,13,0,0,0,0,0,0,0,0,0,1,26,363,372,2570,42601,4202,1,0,0,0,0,0,0,0,0,0,1,336,275,281,5651,28432,1043,0,0,0,0,0,0,0,0,0,5,37,220,223,205,7007,21696,479,0,0,0,0,0,0,0,0,1,3,225,82,270,208,3573,8009,20,0,0,0,0,0,0,0,0,0,2,59,35,11,47,461,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,72,85,1,0,0,0,0,0,0,0,0,0,0,0,0,18,39,793,795,4,0,0,0,0,0,0,0,0,0,0,0,12,104,155,4185,1902,12,0,0,0,0,0,0,0,0,0,0,0,156,209,594,9542,1856,10,0,0,0,0,0,0,0,0,0,0,55,156,154,1826,11492,485,2,0,0,0,0,0,0,0,0,0,11,97,84,96,2410,4626,75,2,0,0,0,0,0,0,0,0,3,22,78,78,92,1215,1074,63,3,0,0,0,0,0,0,1,0,0,56,30,58,33,356,690,24,0,0,0,0,0,0,0,1,2,2,39,11,40,37,208,565,22,0,0,0,0,0,0,0,0,2,28,17,29,3,32,85,279,0,0,0,0,0,0,0,0,0,0,5,1,10,2,7,89,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,107,5,1,0,0,0,0,0,0,0,0,0,0,0,1,6,826,847,15,0,0,0,0,0,0,0,0,0,0,0,22,36,73,4507,2481,15,0,0,0,0,0,0,0,0,0,0,3,180,172,597,13356,3295,3,0,0,0,0,0,0,0,0,1,3,212,202,251,2346,19952,1876,2,1,0,0,0,0,0,0,0,3,22,228,196,156,4082,14988,484,4,0,0,0,0,0,0,0,0,2,126,70,158,155,3411,6362,62,0,0,0,0,0,0,0,0,0,7,114,70,62,113,1166,1236,20,0,0,0,0,0,0,0,0,0,21,9,18,10,24,161,272,8,0,0,0,0,0,0,2,4,7,51,6,51,2,51,56,245,0,0,0,0,0,0,0,0,0,7,8,4,8,3,8,26,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,529,319,4,0,0,0,0,0,0,0,0,0,0,0,0,15,27,3692,1566,30,0,0,0,0,0,0,0,0,0,0,0,6,74,481,19060,11028,95,0,0,0,0,0,0,0,0,0,0,3,236,343,2378,80985,21162,86,1,0,0,0,0,0,0,0,0,3,49,592,589,11845,126703,16322,56,0,0,0,0,0,0,0,0,1,7,505,436,590,21994,125238,10057,28,0,0,0,0,0,0,0,0,0,35,393,377,375,24364,86172,4619,18,0,0,0,0,0,0,0,0,1,192,134,247,280,14553,34236,2319,1,0,0,0,0,0,0,0,2,16,315,114,200,315,6274,19148,1171,1,0,0,0,0,0,0,0,1,101,152,153,88,260,4620,15406,449,0,0,0,0,0,0,0,0,5,135,17,152,20,215,3485,10039,64,0,0,0,0,0,0,0,0,60,67,59,61,42,75,1036,1681,0,0,0,0,0,1,0,2,3,87,2,74,10,18,60,44,465,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,492,10,0,0,0,0,0,0,0,0,0,0,0,0,104,200,6887,7905,21,0,0,0,0,0,0,0,0,0,0,0,71,895,1694,81224,14686,0,0,0,0,0,0,0,0,0,0,1,4,743,811,11543,140457,4018,0,0,0,0,0,0,0,0,0,0,0,112,454,461,20950,58979,702,4,0,0,0,0,0,0,0,0,1,5,137,157,189,4100,11403,558,0,0,0,0,0,0,0,0,1,2,16,192,173,103,1271,6401,142,0,0,0,0,0,0,0,0,0,0,34,16,24,37,903,1742,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,157,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,105,2,0,0,0,0,0,0,0,0,0,0,0,0,6,8,519,590,16,0,0,0,0,0,0,0,0,0,0,0,21,57,97,3392,2641,33,0,0,0,0,0,0,0,0,0,0,10,246,231,451,16457,8313,17,0,0,0,0,0,0,0,0,0,2,296,273,401,2633,52608,9308,5,0,0,0,0,0,0,0,0,1,33,524,399,314,8212,70548,6332,0,1,0,0,0,0,0,0,2,4,347,325,607,401,12478,88220,4740,4,0,0,0,0,0,0,1,2,6,462,249,218,419,15081,61121,342,0,0,0,0,0,0,0,0,0,37,4,47,5,66,4608,4535,59,0,0,0,0,0,0,0,0,0,0,0,0,0,13,591,539,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,287,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,248,149,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,5,12,12,496,522,2,0,0,0,0,0,0,0,0,0,1,4,159,141,183,4549,1413,2,0,0,0,0,0,0,0,0,1,2,222,209,246,836,11063,1301,0,0,0,0,0,0,0,0,1,2,15,206,202,126,2092,11731,277,0,0,0,0,0,0,0,0,0,0,45,13,53,59,1581,4035,43,0,0,0,0,0,0,0,0,0,1,16,3,11,12,381,830,49,0,0,0,0,0,0,0,0,0,7,36,27,19,47,110,691,41,0,0,0,0,0,0,1,2,3,22,2,21,0,16,85,355,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,2843,912,0,0,0,0,0,0,0,0,0,0,0,0,0,55,502,20834,4711,8,0,0,0,0,0,0,0,0,0,0,0,0,651,2740,52761,6289,4,0,0,0,0,0,0,0,0,0,0,2,167,575,6378,49284,3126,3,0,0,0,0,0,0,0,0,0,0,1,215,228,6773,24162,853,1,0,0,0,0,0,0,0,0,0,0,19,97,108,3909,8224,350,0,0,0,0,0,0,0,0,0,0,0,73,74,94,1886,3439,157,1,0,0,0,0,0,0,0,0,0,17,72,59,54,911,2237,87,0,0,0,0,0,0,0,0,0,1,45,27,56,56,596,1314,45,0,0,0,0,0,0,0,0,0,5,16,2,21,17,368,1197,27,0,0,0,0,0,0,0,0,0,7,9,13,1,22,194,401,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,epithelium

